Date,Open,High,Low,Close,Adj Close,Volume
2011-06-01,47.500000,47.799999,45.349998,45.799999,31.059767,76215
2011-06-02,46.599998,48.099998,45.400002,47.950001,32.517811,239524
2011-06-03,49.000000,49.799999,48.349998,48.700001,33.026428,157227
2011-06-06,48.299999,49.950001,48.000000,49.549999,33.602867,82420
2011-06-07,49.799999,50.000000,48.599998,49.049999,33.263790,58004
2011-06-08,49.500000,49.950001,48.900002,49.049999,33.263790,35448
2011-06-09,49.700001,49.799999,48.950001,49.500000,33.568958,31558
2011-06-10,49.799999,50.500000,49.750000,49.900002,33.840225,49174
2011-06-13,49.799999,49.900002,48.950001,49.750000,33.738503,72556
2011-06-14,50.000000,50.700001,49.799999,50.549999,34.281033,53214
2011-06-15,50.400002,50.700001,48.799999,50.150002,34.009769,32015
2011-06-16,49.500000,50.500000,49.349998,50.299999,34.111488,40010
2011-06-17,50.099998,51.000000,49.549999,49.700001,33.704601,34241
2011-06-20,50.000000,50.000000,47.599998,48.849998,33.128155,66837
2011-06-21,49.500000,49.750000,48.150002,48.750000,33.060337,35902
2011-06-22,49.000000,49.450001,48.750000,49.000000,33.229881,42989
2011-06-23,48.049999,49.000000,48.000000,48.549999,32.924709,13905
2011-06-24,49.049999,49.500000,48.750000,49.150002,33.331604,17466
2011-06-27,48.000000,49.450001,48.000000,49.000000,33.229881,17493
2011-06-28,49.299999,49.500000,48.700001,49.400002,33.501152,23202
2011-06-29,49.000000,50.099998,49.000000,49.750000,33.738503,39299
2011-06-30,50.000000,50.349998,49.700001,50.049999,33.941944,26490
2011-07-01,50.000000,50.500000,49.799999,50.049999,33.941944,17558
2011-07-04,51.000000,52.549999,49.950001,52.549999,35.637348,53174
2011-07-05,54.500000,55.200001,51.750000,52.849998,35.840801,289056
2011-07-06,52.000000,53.299999,51.400002,52.599998,35.671261,53945
2011-07-07,52.599998,53.450001,52.299999,53.099998,36.010342,64924
2011-07-08,52.799999,53.400002,52.500000,53.000000,35.942524,45660
2011-07-11,54.000000,54.700001,53.200001,54.200001,36.756317,83971
2011-07-12,53.950001,54.500000,53.400002,53.650002,36.383331,51368
2011-07-13,54.099998,54.250000,53.200001,53.700001,36.417236,28917
2011-07-14,54.150002,54.150002,48.400002,53.450001,36.247700,40535
2011-07-15,54.000000,54.000000,53.150002,53.650002,36.383331,17047
2011-07-18,53.250000,54.250000,53.250000,53.849998,36.518955,47972
2011-07-19,54.500000,55.200001,53.000000,53.400002,36.213783,68520
2011-07-20,53.400002,53.849998,52.700001,53.000000,35.942524,52711
2011-07-21,53.000000,54.450001,52.299999,53.500000,36.281609,149545
2011-07-22,53.500000,54.799999,53.099998,53.900002,36.552872,166460
2011-07-25,53.099998,54.799999,52.900002,53.150002,36.044254,132718
2011-07-26,53.000000,53.500000,51.549999,51.849998,35.162636,196326
2011-07-27,46.799999,46.799999,44.150002,44.750000,33.586514,156335
2011-07-28,44.700001,44.700001,41.400002,41.599998,31.222319,62953
2011-07-29,41.000000,41.599998,40.000000,40.299999,30.246628,48959
2011-08-01,40.599998,42.349998,40.599998,42.349998,31.785219,40750
2011-08-02,43.900002,44.500000,40.650002,40.950001,30.734472,47792
2011-08-03,40.049999,40.500000,39.200001,39.950001,29.983934,26080
2011-08-04,40.200001,40.900002,39.549999,40.250000,30.209093,18353
2011-08-05,39.000000,39.549999,38.250000,38.750000,29.083294,26972
2011-08-08,37.000000,38.000000,36.849998,36.849998,27.657276,31662
2011-08-09,35.799999,35.799999,35.049999,35.049999,26.306309,44130
2011-08-10,36.000000,36.750000,36.000000,36.450001,27.357063,17024
2011-08-11,36.500000,36.500000,34.650002,36.150002,27.131895,27569
2011-08-12,37.349998,37.349998,35.000000,35.599998,26.719101,31462
2011-08-16,36.849998,37.349998,34.099998,35.000000,26.268782,29182
2011-08-17,35.500000,35.500000,33.400002,33.750000,25.330610,25624
2011-08-18,33.750000,34.349998,33.150002,33.250000,24.955343,10652
2011-08-19,31.700001,33.000000,31.700001,32.900002,24.692656,12994
2011-08-22,33.000000,34.549999,33.000000,34.549999,25.931038,14507
2011-08-23,33.750000,36.299999,33.599998,35.700001,26.794163,23728
2011-08-24,36.450001,37.500000,34.349998,35.099998,26.343834,11630
2011-08-25,34.150002,35.700001,34.049999,34.799999,26.118675,8926
2011-08-26,35.599998,35.599998,33.500000,34.049999,25.555773,7411
2011-08-29,34.400002,35.000000,33.049999,34.849998,26.156199,14469
2011-08-30,35.150002,36.000000,34.049999,35.650002,26.756632,6062
2011-09-02,35.150002,36.599998,35.150002,35.400002,26.568998,5761
2011-09-05,35.549999,35.750000,34.000000,34.450001,25.855986,10184
2011-09-06,34.849998,35.000000,34.000000,34.400002,25.818459,20105
2011-09-07,34.599998,34.849998,34.000000,34.400002,25.818459,34197
2011-09-08,34.299999,35.000000,33.000000,34.049999,25.555773,44238
2011-09-09,34.049999,34.950001,31.100000,33.950001,25.480717,19760
2011-09-12,34.000000,34.250000,33.299999,33.950001,25.480717,19636
2011-09-13,33.950001,34.500000,33.950001,34.099998,25.593296,15635
2011-09-14,33.150002,34.200001,32.799999,33.000000,24.767710,41966
2011-09-15,33.250000,33.549999,32.549999,33.000000,24.767710,10144
2011-09-16,33.500000,33.500000,33.000000,33.349998,25.030396,18188
2011-09-19,33.599998,33.950001,32.150002,32.950001,24.730185,19540
2011-09-20,33.400002,33.450001,32.849998,33.049999,24.805233,17850
2011-09-21,33.500000,33.599998,32.599998,33.000000,24.767710,28927
2011-09-22,32.700001,33.099998,32.500000,32.549999,24.429966,11609
2011-09-23,32.049999,33.000000,32.049999,32.849998,24.655128,11940
2011-09-26,32.900002,32.900002,32.000000,32.549999,24.429966,5789
2011-09-27,32.049999,33.799999,32.049999,32.700001,24.542545,11465
2011-09-28,32.049999,33.150002,32.049999,32.500000,24.392439,3003
2011-09-29,31.549999,33.099998,31.549999,32.450001,24.354912,2367
2011-09-30,32.500000,33.099998,32.000000,32.000000,24.017172,9124
2011-10-03,31.100000,32.799999,31.100000,32.549999,24.429966,4646
2011-10-04,31.400000,32.799999,31.400000,32.299999,24.242331,4828
2011-10-05,32.049999,32.799999,31.750000,31.950001,23.979643,6950
2011-10-07,32.000000,32.799999,32.000000,32.099998,24.092222,6286
2011-10-10,32.099998,33.500000,32.099998,32.700001,24.542545,9869
2011-10-11,31.549999,33.450001,31.549999,32.250000,24.204805,9384
