date,headline_text,open,high,low,close,adj close,volume
2019-07-25,UK: Priti Patel named home minister as Boris Johnson picks pro-Brexit allies to cabinet,49.049999,50.25,46.299999,47.099998,45.037987,25780.0
2019-07-26,Boris Johnson vows radical rehaul of Britain's immigration system,47.049999,48.700001,46.049999,47.299999,45.229233,31345.0
2019-07-29,Paytm Money to get Rs 250 crore; eyes low-cost broking business,48.5,49.0,46.75,47.5,45.420475,10256.0
2019-07-30,Imran Khan calls forced conversions 'un-Islamic'; vows to protect worship places of minorities,47.400002,47.549999,43.599998,44.200001,42.264946,14061.0
2019-07-31,PIO found guilty of running fraud scheme in US,43.150002,45.0,43.0,43.549999,41.643402,13733.0
2019-08-01,get ready for 20 fold increase in fine for tripling on on 2 wheelers as mv bill sets to become law,43.549999,44.150002,41.849998,42.849998,40.974049,12098.0
2019-08-02,Top US official to visit India amid 'grave concerns' over aid to Pakistan,44.450001,44.450001,41.099998,42.900002,41.021862,19514.0
2019-08-05,India vs West Indies; 2nd T20I: India win by 22 runs (DLS) to take unassailable 2-0 lead,42.5,42.5,39.799999,40.599998,38.822552,14889.0
2019-08-06,Indian Bank reports profit of Rs 365 crore in June quarter,40.75,42.450001,40.5,42.0,40.161259,9063.0
2019-08-07,India vs West Indies; 3rd T20I: Rishabh Pant; Virat Kohli star in India's 7-wicket win; clinch series 3-0,44.950001,45.0,43.0,44.150002,42.217136,10434.0
2019-08-08,System is flush with liquidity; there's room for certain structural reforms: RBI governor,46.5,46.75,44.599998,46.25,44.225197,35287.0
2019-08-09,india vs west indies live cricket score updates 1st odi guyana,46.400002,47.0,45.0,45.650002,43.651463,20292.0
2019-08-13,PM Modi walks in the wild with Bear Grylls to promote conservation and cleanliness,43.650002,44.150002,42.200001,42.450001,40.591564,14653.0
2019-08-14,India vs West Indies; Preview 3rd ODI: Shikhar Dhawan under pressure to score big with series on the line,43.0,43.0,41.049999,41.299999,39.491905,5411.0
2019-08-16,Why Prithviraj Kapoor visited a music magazine office in Hathras,41.299999,42.450001,40.5,40.799999,39.013794,6841.0
2019-08-19,Amazon to use Prime Now for food delivery launch,41.0,41.950001,39.049999,40.299999,38.535686,16658.0
2019-08-20,Credit has to expand 18-20% for India to become $5 trillion economy,39.299999,40.049999,39.299999,39.5,37.77071,11396.0
2019-08-21,INX Media case: CBI issues notice to Chidambaram asking him to appear 'within two hours',40.0,40.049999,39.099998,39.150002,37.436031,9424.0
2019-08-22,London Ambedkar Museum could be forced to close for breach of planning rules,40.0,40.0,38.349998,38.700001,37.005733,4424.0
2019-08-23,India vs West Indies Highlights; 1st Test Day 1: India 203/6 at stumps,38.099998,40.400002,37.0,39.5,37.77071,10778.0
2019-08-26,India vs West Indies Highlights; 1st Test Day 4: India thrash Windies by 318 runs,43.0,43.0,39.200001,40.200001,38.440067,13819.0
2019-08-27,Eight Kargil leaders; including J&K Legislative Council chairman; join BJP,40.950001,42.450001,40.599998,41.75,40.681183,18007.0
2019-08-28,Mutual funds not banks that provide risk capital; says Sebi chief,42.450001,44.0,41.799999,42.0,41.673409,17021.0
2019-08-29,Revolt RV400 electric motorcycle first ride review,41.700001,41.700001,40.5,40.549999,40.23468,8611.0
2019-08-30,Sebi absolves 3 ex-NSE officials; software architect of charges in co-location case,41.0,42.0,40.0,40.450001,40.13546,10915.0
2019-09-03,India vs West Indies Highlights; 2nd Test Day 4: India beat WI by 257 runs; win series 2-0,40.5,40.5,38.349998,38.950001,38.647125,3810.0
2019-09-04,India asks Chinese foreign minister to reschedule trip,39.0,39.5,37.0,38.900002,38.597515,7652.0
2019-09-05,For over a century; Varanasi's Marathi wadas have been cradles of nationalism,38.900002,40.0,38.650002,39.5,39.192848,7322.0
2019-09-06,Chidambaram loses bid to avoid Tihar; to be kept there till September 19,39.049999,40.25,38.799999,40.0,39.688957,17279.0
2019-09-09,Orbiter has spotted Vikram lander; signals elusive: Isro,40.0,42.150002,39.900002,41.599998,41.276516,17232.0
2019-09-11,Now; DK Shivakumar daughter gets ED summons in laundering case,42.049999,44.5,41.200001,43.900002,43.558636,21839.0
2019-09-12,BIS nixes proposal for heavier 2-wheeler helmets,44.0,49.0,43.799999,47.75,47.378696,95589.0
2019-09-13,Auto companies are cry babies; no need for GST cuts: India Cements MD N Srinivasan,48.599998,48.599998,45.349998,46.599998,46.237637,15383.0
2019-09-16,SBI shelves plans to list SBI General,46.599998,51.700001,45.150002,51.349998,50.950699,201328.0
2019-09-17,Slowdown changes marketshare pie for firms in Motown,50.5,50.5,46.549999,47.099998,46.733749,57568.0
2019-09-18,Paramilitary forces will soon get BARC-developed 'Bhabha Kavach',47.5,48.400002,46.0,47.450001,47.081028,17485.0
2019-09-19,45% users stop using shopping apps after 4 weeks of download,46.349998,47.0,43.200001,44.5,44.153969,20199.0
2019-09-20,Google focus on Pay for next billion,45.0,47.75,43.700001,47.0,46.634525,36746.0
2019-09-23,LeT chief chargesheeted by Pak for terror financing,47.5,49.650002,46.200001,47.0,46.634525,20084.0
2019-09-24,A win-win show for Modi and Trump,48.299999,48.299999,45.799999,46.549999,46.188026,20829.0
2019-09-25,Send copy of plea to CG Power: SAT to Gautam Thapar,46.099998,46.700001,44.599998,44.75,44.402023,11163.0
2019-09-26,Now; smart lockers solve your delivery dilemmas,45.349998,46.200001,45.200001,45.599998,45.245411,13371.0
2019-09-27,Auto firms; dealers root for retail; registration numbers,45.400002,46.200001,44.650002,45.349998,44.997356,12113.0
2019-09-30,RBI may cut repo rate by 25 basis points despite fiscal risk,45.450001,47.099998,43.650002,43.75,43.409798,9704.0
2019-10-01,Car owners spend less money on servicing: JD Power Survey,44.25,44.25,42.099998,42.849998,42.516796,10944.0
2019-10-03,Lakshmi Vilas Bank sees more exits; director nominated two days ago quits,43.950001,44.0,41.099998,42.700001,42.367966,14071.0
2019-10-04,PMC Bank fraud: Rise and fall of Wadhawans; once toast of Mumbai party circuit,42.549999,42.950001,42.0,42.5,42.169518,6383.0
2019-10-07,Superbikes see 4-fold growth; beat slowdown,42.0,42.650002,41.0,41.599998,41.276516,8374.0
2019-10-09,Refurbished smartphone market enjoys a boost this festive season,41.150002,41.599998,39.25,41.299999,40.978851,9872.0
2019-10-10,Tractor sales start seeing green shoots of recovery,43.0,43.450001,42.049999,42.450001,42.119907,23619.0
2019-10-11,Piramal Enterprises writes to Sebi over rumours,42.349998,42.799999,41.299999,41.349998,41.028461,6616.0
2019-10-14,Section 144 in Ayodhya till December 10 in anticipation of title suit verdict,41.049999,42.099998,40.950001,41.099998,40.780403,4812.0
2019-10-15,Anand Mahindra may take on non-executive role,41.150002,41.150002,39.0,40.099998,39.788181,45914.0
2019-10-16,Dutch family 'waiting for end of time' found in cellar,40.099998,42.900002,40.0,40.950001,40.631573,25367.0
2019-10-17,Freshworks eyes funding round at $3bn valuation,41.049999,42.25,40.299999,41.150002,40.830017,7358.0
2019-10-18,Al-Amin Hossain back in Bangladesh squad for India T20I series,41.0,43.200001,41.0,42.400002,42.070297,7624.0
2019-10-22,Maharashtra exit polls 2019: BJP-Shiv Sena alliance expected to retain power,42.5,43.400002,42.150002,42.849998,42.516796,11594.0
2019-10-23,Animals that we eat thrive; others not doing quite so well,43.349998,43.400002,41.150002,42.549999,42.219128,5571.0
2019-10-24,Haryana & Maharashtra Assembly Poll Results 2019 Live Streaming: When; where & how to watch,42.650002,43.0,41.25,41.900002,41.574184,5986.0
2019-10-25,Deepavali sees higher overseas travel bookings: Travel planners,41.900002,42.5,41.0,41.700001,41.37574,8870.0
2019-10-27,Indian women spend as much time as men on online games: Survey,42.049999,42.950001,41.150002,41.799999,41.47496,2249.0
2019-10-29,Replace 16 Neo engines in 15 days: DGCA to IndiGo,41.950001,44.0,41.200001,43.549999,43.211353,11587.0
2019-10-30,India signs MoU with Saudi to launch RuPay card in Gulf Kingdom,43.150002,44.450001,43.049999,43.700001,43.360188,11310.0
2019-10-31,Article 370 internal matter; says Germany on Angela Merkel trip eve,44.599998,44.599998,43.200001,44.049999,43.707466,15192.0
2019-11-01,Govt asks WhatsApp to explain breach amid phone snoop row,43.5,46.0,43.450001,45.349998,44.997356,19847.0
2019-11-04,Auditors suspect fraud in 8K Miles; 2 directors exit board,46.0,46.349998,45.049999,45.25,44.898136,18406.0
2019-11-05,Ashok Leyland showcases BS-VI trucks; buses,45.400002,46.200001,44.200001,44.5,44.153969,13833.0
2019-11-06,Sebi tightens norms for demat of physical shares,45.299999,45.299999,44.200001,44.599998,44.253189,6636.0
